RunNr	RunType	Sample	PhotonEnergyEV	DetectorDistanceM	HitscoreThreshold
22	Void	None	9200	5.465	-1
23	Void	None	9200	5.465	-1
24	Void	None	9200	5.465	-1
25	Void	None	9200	5.465	-1
26	Void	None	9200	5.465	-1
27	Void	None	9200	5.465	-1
28	Void	None	9200	5.465	-1
29	Void	None	9200	5.465	-1
30	Void	None	9200	5.465	-1
31	Void	None	9200	5.465	-1
32	Void	None	9200	5.465	-1
33	Dark	None	9200	5.465	-1
34	Beam	None	9200	5.465	-1
35	Sample	AgBe	9200	5.465	-1
36	Sample	AgBe	9200    5.465	-1
37	Beam	None	9200	5.465	-1
38	Beam	None	9200	5.465	-1
39	Beam	None	9200	5.465	-1
40	Void	None	9200	5.465	-1
41	Void	None	9200	5.465	-1
42	Void	None	9200	5.465	-1
43	Void	None	9200	5.465	-1
44	Void	None	9200	5.465	-1
45	Sample	Silica	9200	5.465	-1
46	Sample	Silica	9200	5.465	-1
47	Sample	PMMA	9200	5.465	-1
48	Sample	PMMA	9200	5.465	-1
49	Sample	Silica	9200	5.465	-1
50	Sample	Silica	9200	5.465	-1
51	Sample	LiTi	9200	5.465	-1
52	Sample	Silica	9200	5.465	-1
53	Sample	Silica	9200	5.465	-1
54	Sample	Silica	9200	5.465	-1
55	Void	None	9200	5.465	-1
56	Void	None	9200	5.465	-1
57	Void	None	9200	5.465	-1
58	Void	None	9200	5.465	-1
59	Dark	None	9200	5.465	-1
60	Dark	None	9200	5.465	-1
61	Dark	None	9200	5.465	-1
62	Void	None	9200	5.465	-1
63	Void	None	9200	5.465	-1
64	Void	None	9200	5.465	-1
65	Void	None	9200	5.465	-1
66	Void	None	9200	5.465	-1
67	Void	None	9200	5.465	-1
68	Sample	AgBe	9200    5.465	-1
